Potencia,Maximo,DesvioPadrao,Curtose,Assimetria,Classe,CN0_NMEA
5553046.0,9730.816,1091.7496,0.2408101026010589,0.6299585445700379,0,42.71428571428572
5549453.5,11061.591,1090.582,0.2517196150878718,0.6305609962121506,0,42.42857142857143
5536005.0,10470.752,1090.4955,0.248169600299108,0.6329851880427049,0,42.79759519038076
5525367.5,9044.287,1088.3246,0.2461232322936593,0.6311607856111455,0,42.392785571142284
5531808.0,9496.498,1088.5004,0.2396405877105687,0.6281908450625528,0,42.42857142857143
5535579.0,9080.617,1090.5062,0.2259668142286139,0.6278337798352641,0,42.57142857142857
5544701.5,9353.862,1090.8109,0.2580994167040296,0.6328851303007718,0,43.0
5545416.0,9088.647,1090.6227,0.2436172935715053,0.6294394381664629,0,42.49413111938162
5539386.0,10289.591,1090.1588,0.2446037347115774,0.6295685636890077,0,42.42857142857143
5543316.5,9374.274,1090.2698,0.2509081762025733,0.6314528259157635,0,42.321213856284
5552003.5,9448.61,1091.7965,0.2438255013278043,0.63140470663133,0,42.42857142857143
5538194.0,9551.49,1089.1136,0.2298240928866453,0.6263581901849689,0,42.32751216719153
5536810.0,9660.241,1089.1377,0.2302818448135575,0.6259720770391819,0,42.50014314342972
5524528.5,8858.364,1088.7131,0.24697716345237,0.6307870102214184,0,42.34554823933582
5530351.0,8862.021,1088.6249,0.2378000772913151,0.6284605914127849,0,42.41683366733467
5542569.5,8858.854,1090.2494,0.2369267054734329,0.6271435666562483,0,42.42857142857143
5535032.0,9778.559,1090.3916,0.2402451895667354,0.6288132834574732,0,42.142857142857146
5551945.5,9183.682,1090.7,0.2447146363906038,0.6300177612890874,0,42.493844832522186
5553736.0,11415.768,1091.8073,0.2516919859654098,0.6306580525209778,0,42.17835671342686
5541313.5,9630.028,1090.6772,0.2366969055049801,0.6275110352950352,0,42.29716576009161
5537152.0,9764.463,1090.1545,0.24231074468711,0.6308032753262595,0,42.57142857142857
5530874.0,10066.115,1089.6311,0.2471054252277031,0.6314386905473662,0,42.48239335814486
5540651.5,9350.082,1091.0692,0.2481232630722161,0.6331630546374462,0,42.452905811623246
5545099.0,8976.0205,1089.9698,0.2488908693753471,0.6318908318767189,0,42.42857142857143
5544515.5,9269.149,1090.1132,0.2393738715921016,0.6273341784130435,0,42.285714285714285
5538219.0,10662.4,1090.1044,0.2749461989099271,0.6377644085194184,0,42.42857142857143
5530096.0,12798.385,1088.999,0.267898157060046,0.631780618344093,0,42.17950186086459
5529931.5,8240.744,1089.2007,0.2333652321978463,0.6277837262395213,0,42.196106498711714
5541619.0,9522.434,1089.8645,0.2452316223247441,0.6299624218674319,0,42.0
5540281.5,9439.219,1089.4418,0.2424804467173813,0.6279984553032211,0,42.27941597480675
5536960.5,9775.156,1089.2307,0.2272394881651687,0.6263259852647708,0,42.285714285714285
5542503.5,9303.737,1090.6118,0.2424468125314334,0.6283022844229347,0,42.285714285714285
5520796.0,10213.584,1088.5663,0.2486452609572857,0.6317418678515782,0,42.142857142857146
5538317.5,8410.995,1090.0337,0.241312846157097,0.6294872344753512,0,41.874606355568275
5532405.0,9119.008,1089.6055,0.2410130960630683,0.628973725989726,0,42.0
5532717.5,8717.692,1088.3148,0.226669312169371,0.6257877538233555,0,42.285714285714285
5532190.0,8869.643,1089.2223,0.2462733347140973,0.6318996451021366,0,42.35671342685371
5539812.5,13798.509,1089.4658,0.2528921783245881,0.6301035747237124,0,42.285714285714285
5541033.5,8674.78,1090.169,0.2468306388272525,0.6336292310121474,0,42.142857142857146
5526318.5,10295.699,1089.2462,0.2642127879539595,0.6354045994314322,0,42.285714285714285
5530812.0,8627.136,1087.8993,0.2288202218383954,0.624117466234818,0,42.0
5527085.0,11132.007,1088.3672,0.2519864342248836,0.6302837888296734,0,42.42857142857143
