Potencia,Maximo,DesvioPadrao,Curtose,Assimetria,Classe
5553046.0,9730.816,1091.7496,0.24081010260105895,0.6299585445700379,0
5549453.5,11061.591,1090.582,0.2517196150878718,0.6305609962121506,0
5536005.0,10470.752,1090.4955,0.24816960029910806,0.6329851880427049,0
5525367.5,9044.287,1088.3246,0.2461232322936593,0.6311607856111455,0
5531808.0,9496.498,1088.5004,0.23964058771056873,0.6281908450625528,0
5535579.0,9080.617,1090.5062,0.22596681422861398,0.6278337798352641,0
5544701.5,9353.862,1090.8109,0.2580994167040296,0.6328851303007718,0
5545416.0,9088.647,1090.6227,0.2436172935715053,0.6294394381664629,0
5539386.0,10289.591,1090.1588,0.24460373471157748,0.6295685636890077,0
5543316.5,9374.274,1090.2698,0.25090817620257333,0.6314528259157635,0
5552003.5,9448.61,1091.7965,0.24382550132780434,0.63140470663133,0
5538194.0,9551.49,1089.1136,0.2298240928866453,0.6263581901849689,0
5536810.0,9660.241,1089.1377,0.2302818448135575,0.6259720770391819,0
5524528.5,8858.364,1088.7131,0.24697716345237009,0.6307870102214184,0
5530351.0,8862.021,1088.6249,0.23780007729131514,0.6284605914127849,0
5542569.5,8858.854,1090.2494,0.23692670547343297,0.6271435666562483,0
5535032.0,9778.559,1090.3916,0.24024518956673546,0.6288132834574732,0
5551945.5,9183.682,1090.7,0.24471463639060387,0.6300177612890874,0
5553736.0,11415.768,1091.8073,0.25169198596540987,0.6306580525209778,0
5541313.5,9630.028,1090.6772,0.23669690550498013,0.6275110352950352,0
5537152.0,9764.463,1090.1545,0.24231074468711,0.6308032753262595,0
5530874.0,10066.115,1089.6311,0.24710542522770318,0.6314386905473662,0
5540651.5,9350.082,1091.0692,0.2481232630722161,0.6331630546374462,0
5545099.0,8976.0205,1089.9698,0.2488908693753471,0.6318908318767189,0
5544515.5,9269.149,1090.1132,0.23937387159210166,0.6273341784130435,0
5538219.0,10662.4,1090.1044,0.2749461989099271,0.6377644085194184,0
5530096.0,12798.385,1088.999,0.26789815706004605,0.631780618344093,0
5529931.5,8240.744,1089.2007,0.23336523219784633,0.6277837262395213,0
5541619.0,9522.434,1089.8645,0.24523162232474416,0.6299624218674319,0
5540281.5,9439.219,1089.4418,0.24248044671738134,0.6279984553032211,0
5536960.5,9775.156,1089.2307,0.2272394881651687,0.6263259852647708,0
5542503.5,9303.737,1090.6118,0.2424468125314334,0.6283022844229347,0
5520796.0,10213.584,1088.5663,0.24864526095728579,0.6317418678515782,0
5538317.5,8410.995,1090.0337,0.24131284615709703,0.6294872344753512,0
5532405.0,9119.008,1089.6055,0.2410130960630683,0.628973725989726,0
5532717.5,8717.692,1088.3148,0.22666931216937103,0.6257877538233555,0
5532190.0,8869.643,1089.2223,0.2462733347140973,0.6318996451021366,0
5539812.5,13798.509,1089.4658,0.2528921783245881,0.6301035747237124,0
5541033.5,8674.78,1090.169,0.24683063882725254,0.6336292310121474,0
5526318.5,10295.699,1089.2462,0.2642127879539595,0.6354045994314322,0
5530812.0,8627.136,1087.8993,0.22882022183839545,0.624117466234818,0
5527085.0,11132.007,1088.3672,0.25198643422488365,0.6302837888296734,0
5548609.5,10373.171,1091.264,0.23760603034963923,0.628283596942915,0
5535413.0,8400.748,1088.6571,0.23511768687566192,0.626842126312618,0
5534089.0,9705.055,1088.6818,0.2346431924842438,0.6282655971400448,0
5531553.0,8398.881,1089.7648,0.23926152316432603,0.6318912251111075,0
5538800.5,8941.869,1089.3348,0.25409012743420867,0.6319924044189835,0
5529884.5,9208.075,1089.7804,0.24164828380293235,0.6296510221927555,0
