Potencia,Maximo,DesvioPadrao,Curtose,Assimetria
718738.25,3141.5037,393.3744,0.26553339356853245,0.6383475681392996
717963.56,3182.3784,392.68173,0.2580944795444422,0.6327989270808133
717903.75,3508.283,392.79956,0.25174110973821895,0.633840899452891
717368.75,3236.6562,392.68884,0.263718802115982,0.6354570465792377
717953.56,3223.2483,392.68768,0.26099523382164236,0.634889406747033
716064.44,3281.6956,392.4757,0.27472396903738394,0.6364227869959554
717918.3,3254.026,393.17017,0.2722073941479266,0.6408988153075036
716936.7,3444.4775,392.56143,0.2679826946144952,0.63605781639485
715593.56,3528.8508,392.54926,0.2745354574939731,0.6387219925333335
716067.9,3305.04,391.9471,0.27553445357756656,0.6355158394619106
715798.44,3170.8838,392.7478,0.27304435343087663,0.639060770962078
716089.5,3371.1426,391.82736,0.25579604044257476,0.6336814910354003
718535.2,3144.6494,392.74506,0.24869547966349703,0.631772038768345
717927.8,3443.6104,392.74237,0.2686962352912552,0.6360722507526093
717106.8,3311.5208,392.51736,0.2675685268171577,0.6354943437312887
716522.1,3353.8813,392.58527,0.2627708423291071,0.63677474858222
714700.75,3443.0454,391.94418,0.24771757010450202,0.6334132241900928
714292.0,3829.4988,391.82803,0.26083060000213276,0.6332202672614183
716695.7,3159.6914,392.36786,0.25297208795438664,0.6324760591146334
718355.8,3322.9622,392.8271,0.26034026809940647,0.6352632047629396
718093.94,3420.4958,392.9054,0.26987596403918257,0.6380108763819833
716546.6,3492.1206,392.53497,0.2604106682349405,0.6357768335422478
714475.5,3197.0864,391.72266,0.2588646869054103,0.6350482802902854
717749.25,3318.2915,392.9248,0.2581099959899684,0.6345035311509961
713221.2,3389.594,391.31076,0.28007437321366924,0.6391048057663455
712229.56,3832.6475,390.65573,0.24332005449220162,0.6277228300176738
717233.0,3243.5696,392.93018,0.2653745802679719,0.637541377278993
716053.1,3097.9802,392.26767,0.2602377593479237,0.6350716657416927
713271.4,3220.04,391.29578,0.25849065046967734,0.6348439063947113
718106.7,3361.8745,392.68243,0.2530388252704143,0.6319390627121925
717821.1,3225.8894,392.78528,0.2621831790620339,0.6341029113477875
711333.4,3319.6423,390.62186,0.2590386059922358,0.6326611208166526
706333.8,3047.3564,389.26392,0.23474770102404596,0.6276085037166175
711743.7,3855.7756,390.73502,0.2594391789644752,0.6328276672688748
714798.3,3977.483,391.5165,0.27117607813075084,0.6346287638100985
709547.06,3161.8315,390.22357,0.2403776323760649,0.6304061628000845
708898.6,3355.552,390.08997,0.2324707757481841,0.6277142109193407
711495.25,3114.4805,390.67502,0.25340817041294494,0.632281421240907
714357.44,3278.2056,391.8988,0.2414559413550479,0.6305674244357949
714294.44,3302.6143,391.44327,0.25290660150099287,0.6318684787602705
716787.9,3238.8054,392.80728,0.2752635986053713,0.6396547694882783
715482.6,3018.802,392.30026,0.2586228856424513,0.6369626138571058
717238.9,3291.4182,392.57428,0.2678129705579475,0.635257032596309
715781.1,3167.6572,392.00668,0.2696972537767417,0.6374546213866298
715044.0,3242.625,391.3087,0.23085641881332952,0.6267179360483768
713773.6,4108.499,391.557,0.2596083579941588,0.6330521087265973
713863.3,3110.918,391.45972,0.2394375170267944,0.6298182096144576
714976.3,3569.0405,392.24454,0.26148211069354854,0.6352680984734057
