Media_Temp,Var_Temp,Skew_Temp,Kurt_Temp,Fator_Crista,Entropia_Espectral,Flatness_Espectral,Centroide_Espectral,Classe
2085.0667,1186533.0,0.627471681710381,0.2371756538160934,3.678772,13.225548807685552,0.3843818710534269,-0.013238105906029262,0
2092.2678,1200840.8,0.6357023036565413,0.2678597071179354,5.293801,13.21516137932239,0.38343903949547414,-0.01356826365826447,0
2082.98,1181748.0,0.6287790913196422,0.24212369950515145,4.2809186,13.218265502401064,0.3838565062513827,-0.013966414097490517,0
2099.8123,1212428.9,0.6511045888199677,0.42677919305701995,8.585287,13.215856181791638,0.383169967746941,-0.013339891095881807,0
746.6921,152315.94,0.6301735037554765,0.24211877481438737,3.6442723,13.183824698271508,0.26002164095635005,-0.012980751018197267,1
747.2166,151910.39,0.626482656903949,0.23257627377715906,3.9077895,13.184332602477149,0.2531425633053953,-0.013827456401572633,1
747.71936,152798.25,0.6321227390979985,0.24738326194728844,3.6578245,13.154240340611628,0.25121565945989593,-0.013317248776861062,1
749.4688,153596.73,0.6299378988134003,0.23786406515759762,3.918906,13.17482194284317,0.26371608590775164,-0.012682043306912026,1
744.94824,151481.31,0.629686608621828,0.24609481221324847,3.760246,13.181561929509103,0.26092648190929313,-0.013677117106855485,1
743.9339,151146.44,0.6261353634463991,0.2295306680487026,4.1317534,13.186547181565702,0.26495366460371933,-0.013419064273886162,1
748.63666,153316.89,0.6330521087265973,0.2596083579941588,4.862985,13.18653749075821,0.25604570498028123,-0.012297039184846783,1
2086.688,1189147.1,0.6273413028586353,0.2363072592993345,3.7055602,13.218283755207285,0.38372385014333393,-0.013863533241219023,0
748.8643,153262.05,0.6323245406938174,0.24979204627732088,4.1604414,13.173802477438372,0.2568631330711796,-0.013704923842122848,1
2097.7788,1205065.9,0.635433869478202,0.26003121815938934,3.7291985,13.212905065007837,0.38337481566191167,-0.012833268882472753,0
745.08484,151610.53,0.6307983091947573,0.24691050653750057,4.08698,13.177778142424613,0.2621291204080592,-0.013442437295192835,1
750.01154,154088.86,0.6364925951799274,0.27148470929855195,3.963275,13.164953830611111,0.26256413639424936,-0.012895051617834745,1
749.9744,153901.52,0.6355512003939424,0.2651542365652393,3.9191077,13.178699900067977,0.25405602872013744,-0.012880031678634146,1
2083.0237,1187106.0,0.6346956718982812,0.2603843952021476,3.8077588,13.211543792442159,0.38352873823060285,-0.013447379084952815,0
2097.4011,1204587.5,0.6342767154389582,0.25377083258449407,4.622266,13.22309920027019,0.38418816490447255,-0.012938097714707247,0
748.99744,153193.02,0.6318779365748322,0.24508353221025647,3.9390435,13.169252624512712,0.2554908624007158,-0.01299195171963611,1
753.07135,155143.64,0.6428980472568667,0.29527210094460443,3.8972876,13.171671072734158,0.2595965980482929,-0.012714302905375622,1
745.5752,151771.52,0.6287764550251329,0.23716076604077108,3.7366896,13.173751425661136,0.259579117561846,-0.01329099205855698,1
747.87335,152316.98,0.6264005622994714,0.2383631657234111,4.255,13.179837990462032,0.2603869753689487,-0.013956781625802146,1
751.59076,154629.67,0.6321040647797714,0.2484408074628952,4.157945,13.180754120485586,0.25339281909157185,-0.012845774140578478,1
2089.6963,1193383.9,0.6283055104552783,0.24512632807347723,4.912434,13.212925740295702,0.3830618562785744,-0.014086403468307593,0
2084.8606,1186459.5,0.6280392270592099,0.23757972551326745,3.746544,13.218391199762225,0.3837880657293216,-0.01368827714006871,0
746.19495,151955.16,0.632091549680584,0.2541154397866463,3.8819296,13.17710355181029,0.2583718025349669,-0.013620421507047025,1
2086.0195,1190594.5,0.6316933397886315,0.24248756128202587,4.3979244,13.210359434304053,0.383155903302523,-0.013589566938648394,0
744.945,151562.11,0.627423900055699,0.2360112378654038,3.8009906,13.177643074976022,0.26142268503447136,-0.013767306841400824,1
750.6437,154348.72,0.6362455318381344,0.26309889958877974,4.9709525,13.178225725287012,0.26092685651513203,-0.012548667888486407,1
751.1953,154286.45,0.6343450843844145,0.2594106904776581,3.731655,13.18697644431057,0.2596620664570043,-0.012691165913919588,1
747.8856,152674.17,0.6284117291808846,0.23676356911468988,4.000497,13.178039441546373,0.2529750910887377,-0.012905723660715332,1
750.5567,154582.78,0.6408987494934991,0.2722073941479266,3.8404622,13.156971065188673,0.2556889687943109,-0.012750171603281958,1
2086.5654,1187708.1,0.6276901055452174,0.2400208066301559,4.1257224,13.219831640473515,0.383643763432512,-0.013950498764716645,0
750.252,153845.83,0.6315456617224255,0.2524663084674459,4.303508,13.176738572606496,0.26069982749842413,-0.013474513160250941,1
747.2145,152207.0,0.6291282858763948,0.24833841672694712,3.7122114,13.166836926401297,0.2528300379215553,-0.013573664733779352,1
2085.192,1184967.1,0.633183908364553,0.26563902702013653,5.1243377,13.202236036897343,0.3829159333446768,-0.012948434656475629,0
749.9636,153622.53,0.6355158394619106,0.27553445357756656,3.9057064,13.174710233062985,0.25551455117770244,-0.012207968200188721,1
