Potencia,Maximo,DesvioPadrao,Curtose,Assimetria,FFT_Peak,FFT_Mean,FFT_Centroide,Classe
0.3840926212609332,-0.03696721447948479,-0.13131066922992776,-0.07582932879465454,-0.1359217133139391,-0.8367471156986681,0.8360801161662278,1.5469189357177426,0
0.3840926212609332,0.5064086331889762,-0.7095976233132314,-0.05720909550025583,-0.1189084103610876,0.6211159652305448,-0.38899495262833916,-0.6825053908418773,0
1.3642332822281416,0.27090710054740685,0.1690275496580379,-0.06326521624169906,-0.050447508305344814,1.4813794407246095,1.4682383193043513,1.0533141472999055,0
2.34437394319535,-0.3073224431618344,-0.6301623281632183,-0.06675440246357697,-0.10190318442463955,0.5437227854780423,2.085105663304484,1.3621334335369246,0
-1.5761887006734836,-0.12496947954387927,-0.956131270031163,-0.07782589732287903,-0.18588143070694363,0.8353210857310912,-0.4027975334828834,1.545156718320228,0
-0.105977709222671,-0.2959115984064588,0.2066757906111201,-0.10117746187796874,-0.19605279893474026,1.1972044263325081,1.2914392608018617,-0.778185884613776,0
-1.0861183701898793,-0.18760523652681502,-0.21523383416242753,-0.04631539477966591,-0.05324543587546978,-1.416088891980096,-0.4102569282664479,0.5165858411706363,0
0.3840926212609332,-0.29592555452736263,-0.3988375734859357,-0.07103875573283226,-0.15057922883497363,1.5233787949901767,0.834723862569216,0.10437893241081445,0
-0.8410832049480773,0.19574034851491373,-0.30683624294496,-0.06935804648550327,-0.14696863211868802,-0.42996463060026,0.25198490001247137,-0.5230195509409015,0
1.3642332822281416,-0.17880921973553346,-0.5028564220000145,-0.05859738205288486,-0.09374705111763407,-0.6509930040123653,0.5960472339835938,-1.4136972890997372,0
-0.8410832049480773,-0.1515259185240389,-0.02504788582460568,-0.07069270282855863,-0.09509703734875534,1.1657466103401475,-0.12791013408146995,2.5567414299346325,0
1.3642332822281416,-0.10478023474000236,-0.9667026966299093,-0.09458099855890022,-0.2376454199086286,-0.4304089354410127,-0.14629757222856707,-0.18117846376577298,0
-1.3311535354316815,-0.05994310768677972,-0.8529102650339707,-0.09379975595280145,-0.248553384988245,-0.25927776696041205,0.8328335091043546,-1.0217548354636201,0
0.8741629517445374,-0.3829486032398171,-0.2947688597520515,-0.06529886610143765,-0.11247194217145383,1.7139014342115342,0.8171525770291703,-0.5000550924358436,0
1.3642332822281416,-0.38336065198978064,-0.7657458608141195,-0.0809636285665623,-0.17825264383120074,0.4623611221230031,0.44342069534288847,-0.10259600499444071,0
